"LangName"	"LangNum"
"GREEK"	2000
"IRISH"	2001
"BRETON"	2002
"GERMAN"	2004
"NORWEGIAN"	2006
"LITHUANIAN"	2007
"RUSSIAN"	2008
"BULGARIAN"	2009
"FRENCH"	2010
"SPANISH"	2011
"ROMANIAN"	2012
"FARSI"	2013
"PASHTO"	2014
"KURDISH"	2015
"HINDI-URDU"	2016
"BENGALI"	2017
"KASHMIRI"	2018
"SINHALESE"	2020
"ALBANIAN"	2021
"ARMENIAN"	2022
"NEPALI"	2023
"KONKANI"	2024
"ORMURI"	2025
"AINU"	2140
"KHANTY"	2150
"MARI"	2151
"KOMI"	2152
"FINNISH"	2153
"HUNGARIAN"	2154
"SAAMI"	2155
"NENETS"	2156
"NGANASAN"	2157
"TURKISH"	2158
"AZERBAIJANI"	2159
"CHUVASH"	2160
"YAKUT"	2161
"KIRGHIZ"	2162
"BASHKIR"	2163
"SELKUP"	2164
"TUVA"	2165
"KHALKHA"	2166
"EVEN"	2167
"NANAI"	2168
"MANCHU"	2169
"KOREAN"	2170
"JAPANESE"	2171
"YUKAGHIR"	2172
"MONGUOR"	2173
"MOGHOL"	2174
"UZBEK"	2175
"DAGUR"	2176
"MUNDARI"	2300
"KHARIA"	2301
"KHASI"	2302
"VIETNAMESE"	2303
"SEDANG"	2304
"KHMER"	2306
"PARAUK"	2309
"SRE"	2310
"BRAO"	2311
"KHMU?"	2312
"NICOBARESE"	2313
"PACOH"	2314
"NYAH KUR"	2315
"BRUU"	2316
"THAI"	2400
"LAKKIA"	2401
"YAY"	2402
"SUI"	2403
"KAM"	2404
"PO-AI"	2405
"LUNGCHOW"	2406
"ATAYAL"	2407
"JAVANESE"	2409
"MALAGASY"	2410
"CHAM"	2411
"SAMA"	2412
"BATAK"	2413
"TAGALOG"	2414
"SA'BAN"	2415
"CHAMORRO"	2416
"RUKAI"	2417
"TSOU"	2418
"ADZERA"	2419
"RORO"	2420
"KALIAI"	2421
"IAI"	2422
"HAWAIIAN"	2424
"TIGAK"	2425
"LENAKEL"	2426
"LUE"	2427
"IVATAN"	2428
"MOR"	2429
"POHNPEIAN"	2430
"TIRURAY"	2431
"LAI"	2432
"KWAIO"	2433
"PAIWAN"	2434
"IBAN"	2435
"GELAO"	2436
"TETUN"	2437
"FIJIAN"	2439
"IRARUTU"	2440
"MARANAO"	2445
"MANDARIN"	2500
"TAISHAN"	2501
"HAKKA"	2502
"CHANGZHOU"	2503
"XIAMEN"	2504
"FUZHOU"	2505
"BAI"	2506
"TAMANG"	2507
"DAFLA"	2508
"BURMESE"	2509
"LAHU"	2510
"JINGPHO"	2511
"AO"	2512
"TIDDIM CHIN"	2513
"BODO"	2515
"KAREN"	2516
"MIEN"	2517
"NEWARI"	2518
"HMONG"	2519
"PHLONG"	2520
"NAXI"	2525
"GEORGIAN"	2600
"KABARDIAN"	2601
"LAK"	2602
"RUTUL"	2603
"BATS"	2604
"ARCHI"	2605
"AVAR"	2606
"NIVKH"	2700
"KET"	2706
"CHUKCHI"	2708
"KORYAK"	2709
"ITELMEN"	2710
"BASQUE"	2714
"BURUSHASKI"	2715
"TELUGU"	2902
"KOTA"	2903
"KURUKH"	2904
"KOYA"	2905
"TULU"	2906
"BRAHUI"	2917
"MORO"	4101
"KADUGLI"	4102
"KPELLE"	4103
"BISA"	4104
"BAMBARA"	4105
"DAN"	4106
"WOLOF"	4107
"DIOLA"	4108
"TEMNE"	4109
"DAGBANI"	4110
"SENADI"	4111
"TAMPULMA"	4112
"BARIBA"	4113
"EWE"	4114
"AKAN"	4115
"IGBO"	4116
"GA"	4117
"LELEMI"	4118
"EFIK"	4119
"BIROM"	4120
"TAROK"	4121
"AMO"	4122
"BEEMBE"	4123
"OGBIA"	4124
"EJAGHAM"	4125
"ZULU"	4126
"TEKE"	4127
"DOAYO"	4128
"GBEYA"	4129
"AZANDE"	4130
"AIZI"	4131
"MUMUYE"	4132
"KLAO"	4133
"AGHEM"	4134
"KPAN"	4135
"KOHUMONO"	4136
"YORUBA"	4137
"BOBO-FING"	4138
"NONI"	4139
"GWARI"	4140
"EWONDO"	4141
"JOMANG"	4142
"SANGO"	4143
"BETE"	4144
"KONYAGI"	4145
"MBUM"	4146
"ISOKO"	4147
"FE?FE?"	4148
"NDUT"	4149
"KOLOKUMA IJO"	4150
"LUA"	4151
"ALLADIAN"	4152
"MAMBILA"	4153
"MBA-NE"	4160
"DOGON"	4170
"SONGHAI"	4200
"KANURI"	4201
"MABA"	4202
"FUR"	4203
"MAASAI"	4204
"LUO"	4205
"NUBIAN"	4206
"NYANGI"	4207
"IK"	4208
"SEBEI"	4209
"TAMA"	4210
"TEMEIN"	4211
"NERA"	4212
"TABI"	4213
"MURSI"	4214
"LUGBARA"	4215
"YULU"	4216
"BERTA"	4218
"KUNAMA"	4219
"KOMA"	4220
"DAJU"	4225
"DINKA"	4226
"NYIMANG"	4227
"ARABIC"	4350
"TIGRE"	4351
"AMHARIC"	4352
"SOCOTRI"	4354
"NEO-ARAMAIC"	4355
"SHILHA"	4356
"TAMASHEQ"	4357
"SOMALI"	4358
"AWIYA"	4359
"IRAQW"	4360
"BEJA"	4361
"KULLO"	4362
"DIZI"	4363
"KEFA"	4364
"HAMER"	4365
"HAUSA"	4366
"ANGAS"	4367
"MARGI"	4368
"NGIZIM"	4369
"KANAKURU"	4370
"KERA"	4371
"DAHALO"	4372
"KOTOKO"	4373
"DANGALEAT"	4374
"TERA"	4375
"LAME"	4376
"HADZA"	4900
"SANDAWE"	4902
"!XU"	4904
"NAMA"	4906
"HAIDA"	6100
"TLINGIT"	6102
"NAVAJO"	6104
"HUPA"	6105
"CHIPEWYAN"	6106
"AHTNA"	6108
"EYAK"	6109
"NEZ PERCE"	6706
"KLAMATH"	6707
"MAIDU"	6708
"WINTU"	6709
"ZOQUE"	6711
"TZELTAL"	6712
"TOTONAC"	6713
"K'EKCHI"	6714
"MIXE"	6715
"HUAVE"	6716
"MAZAHUA"	6717
"MAZATEC"	6727
"MIXTEC"	6728
"CHATINO"	6729
"TSESHAHT"	6730
"KWAKW'ALA"	6731
"QUILEUTE"	6732
"LUSHOOTSEED"	6734
"PAPAGO"	6736
"LUISENO"	6737
"HOPI"	6738
"YAQUI"	6739
"PICURIS"	6740
"KAROK"	6741
"POMO"	6742
"DIEGUENO"	6743
"ACHUMAWI"	6744
"YANA"	6745
"SHASTA"	6746
"TOL"	6747
"ZUNI"	6748
"ACOMA"	6749
"OJIBWA"	6750
"TONKAWA"	6752
"WIYOT"	6753
"SENECA"	6754
"WICHITA"	6755
"DAKOTA"	6756
"YUCHI"	6757
"TUNICA"	6758
"ALABAMA"	6759
"WAPPO"	6760
"NAHUATL"	6762
"KAWAIISU"	6763
"AMUZGO"	6770
"BELLA COOLA"	6771
"TLAPANEC"	6772
"UPPER CHEHALIS"	6773
"TSIMSHIAN"	6774
"CADDO"	6775
"HUASTECO"	6776
"YUCATEC"	6777
"SHUSWAP"	6778
"SIERRA MIWOK"	6779
"JACALTEC"	6780
"CHEROKEE"	6781
"KIOWA"	6785
"HIGHLAND CHINANTEC"	6786
"ITONAMA"	6800
"BRIBRI"	6801
"PIRAHA"	6802
"CAYAPA"	6803
"PAEZ"	6804
"OCAINA"	6805
"MUINANE"	6806
"CARIB"	6807
"KAINGANG"	6808
"APINAYE"	6809
"AMAHUACA"	6810
"EPENA PEDEE"	6811
"TACANA"	6812
"ASHUSLAY"	6814
"ABIPON"	6815
"SOUTHERN NAMBIQUARA"	6816
"ARABELA"	6817
"AUCA"	6818
"QUECHUA"	6819
"JAQARU"	6820
"TEHUELCHE"	6821
"WAPISHANA"	6822
"ISLAND CARIB"	6823
"AMUESHA"	6824
"CAMPA"	6825
"GUAJIRO"	6826
"MOXO"	6827
"GUARANI"	6828
"SIRIONO"	6829
"GUAHIBO"	6830
"TICUNA"	6831
"BARASANO"	6832
"SIONA"	6833
"JIVARO"	6835
"COFAN"	6836
"ARAUCANIAN"	6837
"RESIGARO"	6838
"YAGUA"	6839
"CAYUVAVA"	6840
"HUARI"	6841
"HIXKARYANA"	6842
"YUCUNA"	6843
"JEBERO"	6844
"IRANXE"	6845
"CUBEO"	6846
"TARASCAN"	6847
"JAPRERIA"	6848
"PANARE"	6849
"BORORO"	6850
"ANDOKE"	6851
"WARAO"	6852
"AKAWAIO"	6853
"PAYA"	6854
"SHIRIANA"	6855
"BAKAIRI"	6856
"CUNA"	6857
"MAXAKALI"	6858
"QAWASQAR"	6859
"MOVIMA"	6860
"SALIBA"	6861
"GUAMBIANO"	6862
"CAMSA"	6863
"CACUA"	6864
"TRUMAI"	6865
"ACHE"	6866
"IATE"	6870
"ALEUT"	6900
"INUIT"	6901
"YUPIK"	6902
"GARAWA"	8345
"YANYUWA"	8347
"WARAY"	8348
"MURINHPATHA"	8349
"MAUNG"	8350
"TIWI"	8351
"BURARRA"	8352
"NUNGGUBUYU"	8353
"ALAWA"	8354
"MALAKMALAK"	8356
"BARDI"	8357
"WIK-MUNKAN"	8358
"WESTERN DESERT"	8360
"ARRERNTE"	8362
"GUGU-YALANDYI"	8364
"KALA LAGAW YA"	8365
"DIYARI"	8367
"BANDJALANG"	8368
"KALKATUNGU"	8369
"YIDINY"	8370
"DYIRBAL"	8371
"NGIYAMBAA"	8372
"MBABARAM"	8373
"NGARINJIN"	8374
"YOLNGU"	8375
"ANDAMANESE"	8600
"ASMAT"	8601
"KWOMA"	8602
"SENTANI"	8603
"NIMBORAN"	8604
"IWAM"	8605
"SELEPET"	8607
"GADSUP"	8608
"YAGARIA"	8609
"KEWA"	8610
"CHUAVE"	8611
"DANI"	8613
"WANTOAT"	8615
"DADIBI"	8616
"FASU"	8617
"SUENA"	8618
"DERA"	8619
"KUNIMAIPA"	8620
"YAREBA"	8621
"KOIARI"	8622
"TAORIPI"	8623
"NASIOI"	8624
"ROTOKAS"	8625
"NAMBAKAENGO"	8626
"ANGAATIHA"	8627
"WAHGI"	8628
"YAWA"	8629
"USAN"	8630
"BAINING"	8631
"YESSAN-MAYO"	8632
"WOISIKA"	8633
"ALAMBLAK"	8634
"AMELE"	8635
"SOUTHERN KIWAI"	8636
"WARIS"	8637
"VANIMO"	8640
"SAVOSAVO"	8645
"WEST MAKIAN"	8647
"EKARI"	8650
