InventoryID	BibtexKey	Source
1	Cho1967	spa
1	Martin1951	spa
1	Martin1954	spa
1	MartinLee1969	spa
1	Kim1968	spa
1	Kim1972	spa
2	Dulzon1968	spa
2	Krejnovich1968	spa
3	Murkelinskij1967	spa
3	Zhirkov1955	spa
3	Khajdakov1966	spa
4	Kuipers1960	spa
5	RobinsWaterson1952	spa
5	Selmer1935	spa
5	Tschenkeli1958	spa
5	Vogt1938	spa
5	Vogt1939	spa
5	Vogt1958	spa
5	Vogt1971	spa
6	Morgenstierne1945	spa
7	Pinnow1964	spa
7	Pfeiffer1972	spa
7	Grignard1924	spa
8	Lisker1963	spa
8	Krishnamurti1961	spa
8	Kelley1963	spa
9	Emeneau1944	spa
10	GumperzBilibiri1957	spa
11	Biligiri1965	spa
11	Pinnow1959	spa
12	Rabel1961	spa
13	Smith1968	spa
14	Huffman1970a	spa
14	Jacob1968	spa
14	Huffman1970b	spa
15	Thompson1965	spa
16	Dow1972	spa
16	Chao1968	spa
16	Cheng1973b	spa
16	Karlgren1926	spa
17	Chao1970	spa
18	Hashimoto1973	spa
19	Cheng1973a	spa
20	Purnell1965	spa
21	Ray1967	spa
22	Okell1969	spa
23	Matisoff1973	spa
24	Burling1961	spa
25	Jones1961	spa
26	Haudricourt1967	spa
27	Abramson1962	spa
27	Kruatrachue1960	spa
27	Noss1954	spa
27	Noss1964	spa
28	Gedney1965	spa
29	Blood1967	spa
30	Egerod1966	spa
31	Dahl1952	spa
31	Dyen1971	spa
32	Verguin1967	spa
32	MacdonaldSoenyono1967	spa
33	vanderTuuk1971	spa
34	Clayre1973	spa
35	VanSyoc1959	spa
35	Anderson1972	spa
35	Robins1953	spa
35	Robins1957	spa
36	Uhlenbeck1949	spa
36	Uhlenbeck1963	spa
37	SchachterOtanes1972	spa
37	Bloomfield1917	spa
38	Topping1973	spa
39	Tryon1968	spa
39	Haudricourt1971	spa
40	Counts1969	spa
41	Holzknecht1973	spa
42	Hohepa1967	spa
42	WilliamsWilliams1965	spa
42	Biggs1961	spa
43	PukuiElbert1965	spa
44	Douglas1955	spa
44	Douglas1964	spa
45	OGrady1964	spa
46	Sommer1969	spa
46	Capell1967	spa
47	Tryon1970	spa
48	CapellHinch1970	spa
49	HughesLeeding1971	spa
50	Sharpe1972	spa
51	SayersGodfrey1964	spa
52	Cowan1965	spa
53	Kooyers_etal1971	spa
54	Voorhoeve1965	spa
55	Healey1964	spa
56	FrantzFrantz1966	spa
57	Bees1965	spa
58	Pence1966	spa
59	McElhanon1970a	spa
60	HurdHurd1966	spa
61	Bergsland1956	spa
61	Bergsland1959	spa
61	Menovshchikov1968	spa
61	Jakobson1944	spa
62	Thalbitzer1904	spa
62	Rischel1974	spa
62	Kleinschmidt1851	spa
63	Li1946	spa
63	Li1932	spa
63	Li1933	spa
64	Bright1964	spa
65	Golla1970	spa
65	Woodward1964	spa
66	SapirHoijer1967	spa
67	Sapir1923	spa
68	Kuipers1967	spa
69	Snyder1968	spa
70	SapirMorris1939	spa
70	SapirMorris1955	spa
70	Jacobsen1969	spa
71	Boas1947	spa
71	Newman1950	spa
72	Bloomfield1957	spa
73	Voegelin1946	spa
74	Garvin1950	spa
75	BoasDeloria1941	spa
76	Chafe1967	spa
77	Lounsbury1953	spa
78	Crawford1973	spa
78	Ballard1975	spa
79	Rand1968	spa
80	Haas1941	spa
81	Aoki1970	spa
81	Aoki1970a	spa
81	Aoki1966	spa
82	Shipley1956	spa
82	Shipley1964	spa
83	Wonderly1951	spa
84	Aschmann1946	spa
85	Keller1959	spa
86	Kaufman1971	spa
87	Foster1969	spa
88	Bright1957	spa
89	Moshinsky1974	spa
90	Langdon1970	spa
91	Newman1965	spa
92	Trager1971	spa
93	HoijerDozier1949	spa
94	Malecot1963	spa
94	KroeberGrace1960	spa
94	Bright1965	spa
94	Bright1968	spa
95	Whorf1946	spa
95	Voegelin1956	spa
96	Hale1959	spa
96	Saxton1963	spa
97	BlightEunice1976	spa
98	Spotts1953	spa
98	Pike1951	spa
99	PikePike1947	spa
100	HunterPike1969	spa
101	LindskoogBrend1962	spa
102	Gerdel1973	spa
103	LiccardiGrimes1968	spa
104	Bills_etal1969	spa
104	Lastra1968	spa
104	Lastra1968	spa
104	Parker1969	spa
105	Hardman1966	spa
106	EcheverriaContreras1965	spa
107	Taylor1955	spa
108	Tracy1972	spa
109	Holmer1949	spa
110	Dirks1953	spa
111	OttOtt1967	spa
112	Fast1953	spa
113	BeasleyPike1957	spa
114	StolteStolte1971	spa
115	Anderson1959	spa
115	Anderson1962	spa
116	Peasgood1972	spa
116	Hoff1968	spa
117	AgnewPike1957	spa
118	Priest1968	spa
119	GregoresSuarez1967	spa
119	Lunt1973	spa
119	Uldall1956	spa
120	Osborn1948	spa
121	Prost1967	spa
122	BurgessHam1968	spa
123	Applegate1958	spa
124	KraftKraft1973	spa
124	Greenberg1941	spa
124	Abraham1959a	spa
124	Abraham1959	spa
124	Kraft1963	spa
124	Hodge1947	spa
124	HodgeUmaru1963	spa
124	BraunerAshiwajn1965	spa
124	KraftKirk-Greene1973	spa
125	Burquest1971	spa
126	Hoffmann1963	spa
127	Armstrong1964	spa
127	Andrzejewsky1955	spa
127	Andrzejewsky1956	spa
128	Hetzron1969	spa
129	Whiteley1958	spa
130	Palmer1962	spa
131	Leslau1968	spa
131	Klingenheben1966	spa
131	Sumner1957	spa
132	Mitchell1962	spa
132	Tomiche1964	spa
132	Kennedy1960	spa
133	Harrell1962	spa
133	Abdel-Massih1973	spa
133	Harrell1965	spa
134	Borg1973	spa
135	Chayen1973	spa
135	CohenZafrani1968	spa
136	Stevenson1957	spa
136	TuckerBryan1966	spa
137	Welmers1962	spa
137	Welmers1973	spa
138	Sauvageot1965	spa
138	ManessySauvageot1963	spa
138	Ward1963	spa
139	WilsonBendor-Samuel1969	spa
140	Ladefoged1964	spa
140	SchachterFromkin1968	spa
140	Stewart1967	spa
140	Welmers1946	spa
141	Berry1951a	spa
142	Stahlke1970	spa
142	Berry1951	spa
142	Ansre1961	spa
142	Ladefoged1964	spa
143	Williamson1969	spa
143	Carnochan1948	spa
143	Swift_etal1962	spa
143	Ladefoged1968	spa
143	Ward1936	spa
144	Jacquot1962	spa
145	Polome1967	spa
146	Horton1949	spa
147	Doke1926	spa
147	Doke1961	spa
148	Samarin1966	spa
149	Prost1956	spa
150	Lukas1937	spa
151	Crazzolara1960	spa
151	TuckerBryan1966	spa
152	Bell1971	spa
153	Gregersen1961	spa
154	TuckerMpaayei1955	spa
154	TuckerBryan1966	spa
155	Beach1938	spa
156	Fhailigh1968	spa
156	Florence1970	spa
157	Ternes1970	spa
158	Haugen1958	spa
158	Einarsson1949	spa
159	Vanvik1972	spa
159	Vanvik1972a	spa
160	OConner1973	spa
160	Gimson1962	spa
160	Halle1973	spa
160	Fudge1975	spa
160	Trnka1968	spa
161	Moulton1962	spa
161	Philipp1974	spa
161	Werner1972	spa
162	Sten1963	spa
163	Head1964	spa
163	Camara1972	spa
164	Navarro1961	spa
164	Harris1969	spa
164	SaportaContreras1962	spa
165	Agard1958	spa
165	Ruhlen1973	spa
166	JonesWard1969	spa
166	Halle1959	spa
167	Aronson1968	spa
167	Klagstad1958	spa
168	Senn1966	spa
168	Augustitis1964	spa
168	Ambrazas_etal1966	spa
169	Newmark1957	spa
170	Householder_etal1964	spa
170	Newton1972	spa
170	Kaisse1975	spa
170	Kaisse1976	spa
171	Allen1950	spa
172	Obolensky_etal1963	spa
173	Shafeev1964	spa
174	KelkarTrisal1964	spa
175	GillGleason1963	spa
176	Kelkar1968	spa
176	VermeerSharma1966	spa
176	Pinnow1953	spa
176	Srivastava1969	spa
177	FergusonChowdhury1960	spa
178	CoatesSilva1960	spa
179	Ndiaye1970	spa
179	Gavel1929	spa
180	Lehtinen1964	spa
180	Harms1964	spa
180	Austerlitz1967	spa
180	Hammarberg1974	spa
180	Kiparsky1968	spa
180	Harms1966	spa
181	Ristinen1960	spa
182	Lytkin1966	spa
182	Bubrich1949	spa
183	Kalman1972	spa
183	Banhidi_etal1965	spa
183	Hall1938	spa
183	Hall1944	spa
184	Gulya1966	spa
184	Steinitz1950	spa
184	Katz1975	spa
185	Hajdu1963	spa
185	Decsy1966	spa
185	Ristinen1965	spa
185	Ristinen1968	spa
185	Katz1975	spa
186	Swift1963	spa
186	Lees1961	spa
186	Underhill1976	spa
187	HouseholderLofti1965	spa
188	HerbertPoppe1963	spa
189	Kruger1961	spa
189	Andreev1966	spa
190	Krueger1962	spa
190	Bohtlingk1964	spa
191	Hangin1968	spa
191	Luvsanvandan1964	spa
191	Street1963	spa
192	Novikova1960	spa
193	Krejnovich1968b	spa
193	Krejnovich1958	spa
194	Panfilov1962	spa
194	Panfilov1968	spa
195	Skorik1968	spa
195	Skorik1961	spa
196	Simeon1969	spa
197	Bloch1950	spa
197	Martin1952	spa
197	Jorden1963	spa
198	Bouny1977	upsid
199	Olmsted1964	upsid
199	Olmsted1966	upsid
200	Holzknecht1973	upsid
201	NO SOURCE GIVEN	upsid
202	Roberts1987	upsid
203	Huisman1973	upsid
203	Huisman_etal1981	upsid
203	HuismanLloyd1981	upsid
204	Hyman1979	upsid
205	Herault1971	upsid
206	Kari1979	upsid
206	KariBuck1975	upsid
207	Patrie1982	upsid
207	Simeon1969	upsid
208	Dolphyne1988	upsid
208	Ladefoged1964	upsid
208	SchachterFromkin1968	upsid
208	Stewart1967	upsid
208	Welmers1946	upsid
209	Edwards1978	upsid
210	Rand1968	upsid
211	Clairis1977	upsid
212	Duponchel1971	upsid
212	DumestreDuponchel1971	upsid
213	Bergsland1956	upsid
213	Bergsland1959	upsid
213	Jakobson1944	upsid
213	Menovshchikov1968	upsid
214	Sharpe1972	upsid
215	Newmark1957	upsid
216	Osborn1948	upsid
217	Fast1953	upsid
217	Wise1958	upsid
218	Lydall1976	upsid
219	Klingenheben1966	upsid
219	Leslau1968	upsid
219	Sumner1957	upsid
220	Anderson1980	upsid
220	Di-Luzio1972	upsid
221	Bruce1984	upsid
222	Bauernschmidt1965	upsid
222	Longacre1966	upsid
223	Burquest1971	upsid
224	Landaburu1979	upsid
225	Douglas1955	upsid
225	Douglas1964	upsid
226	BurgessHam1968	upsid
227	Brown1914	upsid
227	VoegelinVoegelin1966	upsid
228	Kodzasov1977	upsid
229	Rich1963	upsid
230	EcheverriaContreras1965	upsid
230	Key1978	upsid
231	Kennedy1960	upsid
231	Mitchell1962	upsid
231	Tomiche1964	upsid
232	SaintPike1962	upsid
233	Charachidze1981	upsid
233	Zhirkov1936	upsid
234	Hetzron1969	upsid
235	Najlis1966	upsid
236	HouseholderLofti1965	upsid
237	Poppe1964	upsid
238	Bird_etal1977	upsid
239	StolteStolte1971	upsid
240	Welmers1952	upsid
241	vanderTuuk1971	upsid
242	Desheriev1953	upsid
243	leBrisProst1981	upsid
243	Morse1976	upsid
244	Dell1981	upsid
245	Metcalfe1971	upsid
246	Cook1969a	upsid
247	Verheijen1986	upsid
248	Cunningham1969	upsid
249	Hudson1974	upsid
249	Hudson1976	upsid
250	FergusonChowdhury1960	upsid
251	Jacquot1962	upsid
251	Jacquot1981	upsid
252	WerleGbalehi1976	upsid
253	Naden1973b	upsid
253	Naden1973	upsid
254	Wheatley1973	upsid
254	Wheatley1969	upsid
255	Nater1984	upsid
255	Newman1947	upsid
256	WaltonWalton1967	upsid
257	Bouquiaux1970	upsid
257	Wolff1959	upsid
258	Crowell1979	upsid
259	Keller1976	upsid
260	Bothorel1982	upsid
260	Ternes1970	upsid
261	De-Armond1975	upsid
261	Emeneau1937	upsid
261	Emeneau1962	upsid
262	Thongkum1979	upsid
263	Bhat1968	upsid
264	Morgenstierne1945	upsid
265	Aronson1968	upsid
265	Bidwell1968	upsid
265	Klagstad1958	upsid
265	Scatton1984	upsid
266	GlasgowGlasgow1967	upsid
267	ParkerParker1974	upsid
268	Arroyo1972	upsid
269	Chafe1976	upsid
270	Stell1972	upsid
271	Das1977	upsid
272	Hoff1968	upsid
272	Peasgood1972	upsid
273	LindskoogBrend1962	upsid
274	Diffloth1984	upsid
274	Thongkum1984	upsid
275	Anderton1989	upsid
275	Cathcart1979	upsid
276	Jiahua1960	upsid
277	Costenoble1940	upsid
277	Seiden1960	upsid
277	Topping1969	upsid
277	Topping1973	upsid
278	Li1932	upsid
278	Li1933	upsid
278	Li1946	upsid
279	Robbins1968	upsid
279	Robbins1975	upsid
279	Robbins1961	upsid
280	BenderBender1946	upsid
280	Walker1975	upsid
280	Cook1979	upsid
281	Kruger1961	upsid
282	Blood1967	upsid
283	Kinkade1963	upsid
284	Thurman1970	upsid
285	Skorik1961	upsid
285	Skorik1968	upsid
286	Chao1968	upsid
286	Cheng1973b	upsid
286	Dow1972	upsid
286	Jiahua1960	upsid
286	Karlgren1926	upsid
286	Hanyu1960	upsid
287	Liang1984	upsid
287	Liang1984b	upsid
287	OuyangZheng1980	upsid
287	OuyangZheng1963	upsid
288	Dirks1953	upsid
288	Payne1981	upsid
289	Borman1962	upsid
290	Santos1977	upsid
291	Wang1985	upsid
291	Wang1983	upsid
291	Purnell1972	upsid
292	Taylor1955	upsid
293	Henderson1965	upsid
294	Pride1965	upsid
295	Salser1971	upsid
296	Key1961	upsid
297	Fedry1977	upsid
298	BearthZemp1967	upsid
299	WilsonBendor-Samuel1969	upsid
300	Thelwall1981	upsid
300	TuckerBryan1966	upsid
301	Tucker_etal1977	upsid
301	Nurse1986	upsid
302	Ray1967	upsid
303	Dixon1972	upsid
304	Moulton1962	upsid
304	Wangler1972	upsid
305	Austin1981	upsid
306	Langdon1970	upsid
307	Andersen1987	upsid
307	Malou1988	upsid
308	Bromley1961	upsid
308	vanderStap1966	upsid
309	GuoqiaoYang1988	upsid
310	Wiering1974	upsid
311	Li1973	upsid
311	Li1977-dru	upsid
312	Anonymous1982	upsid
313	Bendor-Samuel_etal1989	upsid
313	Morphy1983	upsid
314	RoseMorphy1982	upsid
315	Sapir1965	upsid
316	Cook1969b	upsid
317	Doble1962	upsid
317	Doble1987	upsid
317	Steltenpool1969	upsid
318	Householder_etal1964	upsid
318	Newton1972	upsid
318	Pring1967	upsid
319	Krauss1975	upsid
320	Watters1981	upsid
321	Gavel1929	upsid
321	Ndiaye1970	upsid
322	Novikova1960	upsid
323	Ladefoged1964	upsid
323	Stahlke1970	upsid
323	Berry1951	upsid
324	Abega1970	upsid
324	NnomoMbezele1982	upsid
324	Redden1979	upsid
325	Krauss1965	upsid
326	LoewekeMay1964	upsid
327	Bell1968	upsid
327	Bell1971	upsid
327	Stevenson1957	upsid
328	Dixon1988	upsid
329	Austerlitz1967	upsid
329	Hammarberg1974	upsid
329	Harms1964	upsid
329	Harms1966	upsid
329	Lehtinen1964	upsid
330	Hyman1972	upsid
331	Sten1963	upsid
332	Lapenda1968	upsid
333	Beaton1968	upsid
333	TuckerTucker1966	upsid
334	Li1977	upsid
335	Berry1951a	upsid
336	FrantzFrantz1966	upsid
337	Furby1974	upsid
338	MoninoRoulon1972	upsid
338	Samarin1966	upsid
339	HymanMagaji1970	upsid
340	He1983	upsid
340	He1981	upsid
341	Avrorin1968	upsid
342	Fhailigh1968	upsid
342	Sommerfelt1964	upsid
342	Brothers1905	upsid
343	Allan1976a	upsid
344	Holmer1949	upsid
344	Mansen1967	upsid
345	GregoresSuarez1967	upsid
345	Lunt1973	upsid
345	Uldall1956	upsid
346	KondoKondo1967	upsid
347	BranksBranks1973	upsid
347	Caudmont1964	upsid
348	Susnik1974	upsid
349	Oates1964	upsid
349	OatesOates1964	upsid
349	Wurm1972a	upsid
350	Hashimoto1973	upsid
351	Abraham1934	upsid
351	Abraham1959	upsid
351	Abraham1959a	upsid
351	BraunerAshiwajn1965	upsid
351	Greenberg1941	upsid
351	Hodge1947	upsid
351	HodgeUmaru1963	upsid
351	Kraft1963	upsid
351	KraftKirk-Greene1973	upsid
351	KraftKraft1973	upsid
351	Taylor1959	upsid
352	PukuiElbert1965	upsid
352	ElbertPukui1979	upsid
352	Schutz1981	upsid
353	Sapir1923	upsid
354	Kelkar1968	upsid
354	Ohala1983	upsid
354	Pinnow1953	upsid
354	Srivastava1969	upsid
354	VermeerSharma1966	upsid
355	Derbyshire1985	upsid
356	KluckhohnMacLeish1955	upsid
356	Voegelin1956	upsid
356	Whorf1946	upsid
357	DempwolffND	upsid
357	TuckerMpaayei1955	upsid
358	Banhidi_etal1965	upsid
358	Hall1938	upsid
358	Hall1944	upsid
358	Kalman1972	upsid
359	Golla1970	upsid
359	Woodward1964	upsid
360	LarsenPike1949	upsid
360	Ochoa-Peralta1984	upsid
361	Stairs_etal1981	upsid
361	Suarez1975	upsid
362	Allen1950	upsid
363	Haudricourt1971	upsid
363	Ozanne-Rivierre1976	upsid
363	Tryon1968	upsid
364	Kuala1981	upsid
364	Scott1957	upsid
365	Carnochan1948	upsid
365	Ladefoged1964	upsid
365	Ladefoged1976	upsid
365	Swift_etal1962	upsid
365	Ward1936	upsid
365	Williamson1969	upsid
366	OttOtt1967	upsid
367	Williamson1965	upsid
368	Heine1975b	upsid
369	Voorhoeve1989	upsid
370	Whiteley1958	upsid
371	Meader1967	upsid
372	Donwa1982	upsid
373	Volodin1976	upsid
374	LiccardiGrimes1968	upsid
375	Mao_etal1982	upsid
375	Purnell1965	upsid
376	CottleCottle1958	upsid
376	HeyeHeye1967	upsid
376	HidalgoHidalgo1971	upsid
377	Laycock1965	upsid
378	Craig1977	upsid
378	Day1973	upsid
379	HuttarKirton1981	upsid
379	Kirton1967	upsid
379	KirtonCharlie1978	upsid
380	Fagan1988	upsid
380	Horne1961	upsid
380	Herrfurth1964	upsid
380	Uhlenbeck1963	upsid
381	Bendor-Samuel1961	upsid
382	FlemingDennis1977	upsid
383	BeasleyPike1957	upsid
384	Bloch1950	upsid
384	Jorden1963	upsid
384	Martin1952	upsid
384	Shibatani1990	upsid
385	Hardman1966	upsid
385	Hardman1983	upsid
386	DurbinSeijas1972	upsid
387	Liu1964	upsid
388	Kleinschmidt1851	upsid
388	Rischel1974	upsid
388	Thalbitzer1904	upsid
389	Bhat1987	upsid
389	KelkarTrisal1964	upsid
389	Zakharin1974	upsid
389	ZakharinEdelman1971	upsid
390	Neisser1953	upsid
390	RobinsWaterson1952	upsid
390	Selmer1935	upsid
390	Tschenkeli1958	upsid
390	Vogt1938	upsid
390	Vogt1958	upsid
390	Vogt1971	upsid
391	Kuipers1960	upsid
392	Howard1976	upsid
392	Howard1972	upsid
392	Mongui1981	upsid
393	Dutton1969	upsid
394	Fleming1976	upsid
395	Voorhoeve1971	upsid
396	Gulya1966	upsid
396	Katz1975	upsid
396	Steinitz1950	upsid
397	Freeze1975	upsid
397	Haeseriju1966	upsid
398	Ebert1976	upsid
398	Ebert1979	upsid
399	Dulzon1968	upsid
399	Krejnovich1968	upsid
400	Emeneau1944	upsid
401	Tyler1969	upsid
402	Henry1935	upsid
402	Kindell1972	upsid
402	Wiesemann1972	upsid
403	Rabel1961	upsid
404	Li1964	upsid
405	Hangin1968	upsid
405	Luvsanvandan1964	upsid
405	Street1963	upsid
405	Svantesson1985	upsid
406	Counts1969	upsid
407	Ehrman1972	upsid
407	Huffman1970a	upsid
407	Huffman1970b	upsid
407	Jacob1968	upsid
408	Biligiri1965	upsid
408	Pinnow1959	upsid
409	Sivertsen1956	upsid
409	WatkinsMcKenzie1984	upsid
409	Harrington1928	upsid
410	HerbertPoppe1963	upsid
410	Junusaliev1966	upsid
411	Wurm1977	upsid
412	Svantesson1983	upsid
413	Miller1966	upsid
414	FranklinFranklin1962	upsid
415	Paulian1975	upsid
416	Barker1964	upsid
417	Singler1979	upsid
418	Kooyers_etal1971	upsid
419	AbdullaMcCarus1967	upsid
420	Newman1974	upsid
421	Awobuluyi1971	upsid
421	Hutchison1981	upsid
421	Lukas1937	upsid
422	Gajendragadkar1970	upsid
422	Madtha1984	upsid
422	Major1979	upsid
423	Cho1967	upsid
423	Kim1972	upsid
423	Kim1986	upsid
423	Martin1951	upsid
423	Martin1954	upsid
423	MartinLee1969	upsid
424	Shimizu1971	upsid
425	Manley1972	upsid
426	Bubrix1949	upsid
426	Lytkin1966	upsid
427	Zhukova1980	upsid
428	Montgomery1970	upsid
429	Pfeiffer1972	upsid
429	Pinnow1964	upsid
430	Jones1961	upsid
431	Blake1979	upsid
432	Snyman1970	upsid
432	Snyman1975	upsid
433	TuckerBryan1966	upsid
434	Pence1966	upsid
435	Sherzer1983	upsid
436	Keesing1985	upsid
437	Boas1911	upsid
437	Boas1947	upsid
437	Grubb1977	upsid
437	Newman1950	upsid
438	Bright1957	upsid
439	Haudricourt1967	upsid
440	Khajdakov1966	upsid
440	Murkelinskij1967	upsid
440	Zhirkov1955	upsid
441	Hofftmann1971	upsid
442	Anderson1986	upsid
442	Crazzolara1960	upsid
442	TuckerBryan1966	upsid
443	Matisoff1973	upsid
444	Ambrazas_etal1966	upsid
444	Augustitis1964	upsid
444	Senn1966	upsid
445	BoasDeloria1941	upsid
446	Sachnine1982	upsid
447	Bright1965	upsid
447	Bright1968	upsid
447	Hyde1971	upsid
447	KroeberGrace1960	upsid
447	Malecot1963	upsid
448	Gregersen1961	upsid
449	Snyder1968	upsid
450	Jamieson1976	upsid
450	Jamieson1976b	upsid
450	PikePike1947	upsid
451	TuckerBryan1966	upsid
451	TuckerMpaayei1955	upsid
452	Pike1951	upsid
452	Spotts1953	upsid
453	Gudschinsky_etal1970	upsid
454	PerrinHill1969	upsid
455	Hagege1970	upsid
456	TuckerBryan1966	upsid
457	Allan1976b	upsid
458	Pasch1986	upsid
459	Weiers1971	upsid
460	Ristinen1960	upsid
461	HunterPike1969	upsid
462	Todaeva1973	upsid
463	Austin1962	upsid
464	Laycock1978	upsid
465	BlackBlack1971	upsid
465	Schadeberg1981a	upsid
466	Birk1975	upsid
466	Tryon1974	upsid
467	CapellHinch1970	upsid
468	MacDonald1973	upsid
469	Voorhoeve1982	upsid
469	Watuseke1976	upsid
470	Hoffmann1963	upsid
470	Maddieson1987	upsid
471	McKaughan1958	upsid
