InventoryID	LanguageCode	Glottocode
1	kor	kore1280
2	ket	kett1243
3	lbe	lakk1252
4	kbd	kaba1278
5	kat	nucl1302
6	bsk	buru1296
7	kru	kuru1302
8	tel	telu1262
9	kfe	kota1263
10	unr	mund1320
11	khr	khar1287
12	kha	khas1269
13	sed	seda1262
14	khm	cent1989
15	vie	viet1252
16	cmn	mand1415
17	wuu	wuch1236
18	hak	hakk1236
19	yue	yuec1235
20	ium	iumi1238
21	dap	nisi1239
22	mya	nucl1310
23	lhu	lahu1253
24	grt	garo1247
25	ksw	sgaw1245
26	lbc	lakk1238
27	tha	thai1261
28	pcc	bouy1240
29	cja	west2650
30	tay	atay1247
31	plt	plat1254
32	zsm	stan1306
33	btx	bata1293
34	snv	saba1265
35	sun	sund1252
36	jav	java1254
37	tgl	taga1270
38	cha	cham1312
39	iai	iaai1238
40	khl	lusi1240
41	adz	adze1240
42	mri	maor1246
43	haw	hawa1245
44	ant	anta1253
45	nna	nyan1301
46	kjn	kunj1245
47	zmr	mara1386
48	mph	maun1240
49	nuy	nung1290
50	alh	alaw1244
51	wim	wikm1247
52	set	nucl1632
53	kmo	kwom1262
54	tml	tamn1235
55	tlf	tele1256
56	gaj	gads1258
57	auy	awiy1238
58	kup	kuni1267
59	spl	sele1250
60	nas	naas1242
61	ale	aleu1260
62	kal	kala1399
63	chp	chip1261
64	tol	tolo1259
65	hup	hupa1239
66	nav	nava1243
67	hdn	nort2938
68	squ	squa1248
69	str	stra1244
70	noo	noot1239
71	kwk	kwak1269
72	ojg	east2542
73	unm	unam1242
74	wic	wich1260
75	lkt	lako1247
76	see	sene1264
77	one	onei1249
78	yuc	yuch1247
79	akz	alab1237
80	tun	tuni1252
81	nez	nezp1238
82	nmu	nort2952
83	zoc	copa1236
84	top	papa1238
85	chf	taba1266
86	tzh	tzel1254
87	tsz	pure1242
88	kyh	karo1304
89	pom	sout2982
90	dih	kumi1248
91	zun	zuni1245
92	tix	sout2961
93	tew	tewa1260
94	lui	luis1253
95	hop	hopi1249
96	ood	toho1245
97	ote	mezq1235
98	maz	cent2144
99	maq	chiq1250
100	mig	sanm1295
101	cbi	chac1249
102	pbb	paez1247
103	ito	iton1250
104	quh	sout2991
105	ayr	cent2142
106	arn	mapu1245
107	crb	isla1278
108	wap	wapi1253
109	guc	wayu1243
110	cni	asha1243
111	ign	igna1246
112	ame	yane1238
113	jiv	shua1257
114	bao	waim1255
115	tca	ticu1245
116	car	gali1262
117	oca	ocai1244
118	srq	siri1273
119	gug	para1311
120	amc	amah1246
121	cao	chac1251
122	apn	apin1244
123	rif	tari1263
124	hau	haus1257
125	anc	ngas1240
126	mrt	marg1265
127	som	soma1255
128	awn	awng1244
129	irk	iraq1241
130	tig	tigr1270
131	amh	amha1245
132	arz	egyp1253
133	ary	moro1292
134	mlt	malt1254
135	heb	hebr1245
136	xtc	katc1249
137	xpe	libe1247
138	wol	nucl1347
139	dag	dagb1246
140	aka	akan1250
141	gaa	gaaa1244
142	ewe	ewee1241
143	ibo	nucl1417
144	beq	beem1239
145	swh	swah1253
146	lue	luva1239
147	zul	zulu1248
148	gbp	gbay1287
149	ses	koyr1242
150	knc	cent2050
151	lgg	lugb1240
152	fia	nobi1240
153	luo	luok1236
154	mas	masa1300
155	naq	nama1264
156	gle	iris1253
157	bre	bret1244
158	isl	icel1247
159	nob	norw1259
160	eng	stan1293
161	deu	stan1295
162	fra	stan1290
163	por	port1283
164	spa	stan1288
165	ron	roma1327
166	rus	russ1263
167	bul	bulg1262
168	lit	lith1251
169	als	tosk1239
170	ell	mode1248
171	hye	nucl1235
172	pes	west2369
173	pst	cent1973
174	kas	kash1277
175	pan	panj1256
176	hin	hind1269
177	ben	beng1280
178	sin	sinh1246
179	eus	basq1248
180	fin	finn1318
181	mhr	east2328
182	kpv	komi1268
183	hun	hung1274
184	kca	khan1273
185	yrk	nene1249
186	tur	nucl1301
187	azb	sout2697
188	kir	kirg1245
189	chv	chuv1255
190	sah	yaku1245
191	khk	halh1238
192	eve	even1260
193	yux	sout2750
194	niv	gily1242
195	ckt	chuk1273
196	ain	ainu1240
197	jpn	nucl1643
198	aal	afad1236
199	acv	achu1247
200	adz	adze1240
201	aer	east2379
202	aey	amel1241
203	agm	anga1290
204	agq	aghe1239
205	ahp	apro1235
206	aht	ahte1237
207	ain	ainu1240
208	aka	akan1250
209	ake	akaw1239
210	akz	alab1237
211	alc	qawa1238
212	ald	alla1248
213	ale	aleu1260
214	alh	alaw1244
215	als	tosk1239
216	amc	amah1246
217	ame	yane1238
218	amf	hame1242
219	amh	amha1245
220	amo	amoo1242
221	amp	alam1246
222	amu	guer1243
223	anc	ngas1240
224	ano	ando1256
225	ant	anta1253
226	apn	apin1244
227	apq	apuc1241
228	aqc	arch1244
229	arl	arab1268
230	arn	mapu1245
231	arz	egyp1253
232	auc	waor1240
233	ava	avar1256
234	awn	awng1244
235	axb	abip1241
236	azj	nort2697
237	bak	bash1264
238	bam	bamb1269
239	bao	waim1255
240	bba	baat1238
241	bbc	bata1289
242	bbl	bats1242
243	bbo	nort2819
244	bca	cent2004
245	bcj	bard1255
246	bcs	kohu1244
247	bdl	indo1317
248	bdy	band1339
249	bej	beja1238
250	ben	beng1280
251	beq	beem1239
252	bev	dalo1238
253	bib	biss1248
254	bkq	baka1277
255	blc	bell1243
256	bmr	muin1242
257	bom	bero1242
258	bor	boro1282
259	brb	lave1249
260	bre	bret1244
261	brh	brah1256
262	brv	west2397
263	brx	bodo1269
264	bsk	buru1296
265	bul	bulg1262
266	bvr	bura1267
267	byx	qaqe1238
268	bzd	brib1243
269	cad	cadd1256
270	cag	niva1238
271	caq	carn1240
272	car	gali1262
273	cbi	chac1249
274	cbn	nyah1250
275	cbv	cacu1241
276	cdo	mind1253
277	cha	cham1312
278	chp	chip1261
279	chq	quio1240
280	chr	cher1273
281	chv	chuv1255
282	cja	west2650
283	cjh	uppe1439
284	cjv	chua1250
285	ckt	chuk1273
286	cmn	mand1415
287	cnh	haka1240
288	cni	asha1243
289	con	cofa1242
290	cou	wame1240
291	cqd	chua1256
292	crb	isla1278
293	ctd	tedi1235
294	ctp	west2644
295	cub	cube1242
296	cyb	cayu1262
297	daa	dang1274
298	daf	dann1241
299	dag	dagb1246
300	daj	darf1239
301	dal	daha1245
302	dap	nisi1239
303	dbl	dyir1250
304	deu	stan1295
305	dif	dier1241
306	dih	kumi1248
307	dip	nort2815
308	dni	lowe1415
309	doc	nort2735
310	dow	doya1240
311	dru	ruka1240
312	dta	daur1238
313	dts	toro1252
314	duj	dhuw1249
315	dyo	jola1263
316	efi	efik1245
317	ekg	ekar1243
318	ell	mode1248
319	ess	cent2128
320	etu	ejag1239
321	eus	basq1248
322	eve	even1260
323	ewe	ewee1241
324	ewo	ewon1239
325	eya	eyak1241
326	faa	fasu1242
327	fia	nobi1240
328	fij	fiji1243
329	fin	finn1318
330	fmp	fefe1239
331	fra	stan1290
332	fun	fuln1247
333	fvr	furr1244
334	fwa	fwai1237
335	gaa	gaaa1244
336	gaj	gads1258
337	gbc	gara1261
338	gbp	gbay1287
339	gbr	gbag1258
340	gio	gela1261
341	gld	nana1257
342	gle	iris1253
343	gmo	gamo1244
344	guc	wayu1243
345	gug	para1311
346	guh	guah1255
347	gum	guam1248
348	guq	ache1246
349	gvn	kuku1273
350	hak	hakk1236
351	hau	haus1257
352	haw	hawa1245
353	hdn	nort2938
354	hin	hind1269
355	hix	hixk1239
356	hop	hopi1249
357	hts	hadz1240
358	hun	hung1274
359	hup	hupa1239
360	hus	huas1242
361	huv	sanm1287
362	hye	nucl1235
363	iai	iaai1238
364	iba	iban1264
365	ibo	nucl1417
366	ign	igna1246
367	ijc	izon1238
368	ikx	ikkk1242
369	irh	irar1238
370	irk	iraq1241
371	irn	iran1263
372	iso	isok1239
373	itl	itel1242
374	ito	iton1250
375	ium	iumi1238
376	ivv	ivat1242
377	iwm	iwam1256
378	jac	popt1235
379	jao	yany1243
380	jav	java1254
381	jeb	jebe1250
382	jic	toll1241
383	jiv	shua1257
384	jpn	nucl1643
385	jqr	jaqa1244
386	jru	japr1238
387	kac	kach1280
388	kal	kala1399
389	kas	kash1277
390	kat	nucl1302
391	kbd	kaba1278
392	kbh	cams1241
393	kbk	gras1249
394	kbr	kafa1242
395	kbv	dera1245
396	kca	khan1273
397	kek	kekc1242
398	ker	kera1255
399	ket	kett1243
400	kfe	kota1263
401	kff	koya1251
402	kgp	kain1272
403	kha	khas1269
404	khb	luuu1242
405	khk	halh1238
406	khl	lusi1240
407	khm	cent1989
408	khr	khar1287
409	kio	kiow1266
410	kir	kirg1245
411	kjd	sout2949
412	kjg	khmu1256
413	kjq	west2632
414	kjs	east2516
415	kkw	teke1280
416	kla	klam1254
417	klu	klao1243
418	kmo	kwom1262
419	kmr	nort2641
420	kna	dera1248
421	knc	cent2050
422	knn	konk1267
423	kor	kore1280
424	kpk	kpan1246
425	kpm	koho1244
426	kpv	komi1268
427	kpy	kory1246
428	kpz	kups1238
429	kru	kuru1302
430	ksw	sgaw1245
431	ktg	kalk1246
432	ktz	juho1239
433	kun	kuna1268
434	kup	kuni1267
435	kvn	bord1248
436	kwd	kwai1243
437	kwk	kwak1269
438	kyh	karo1304
439	lbc	lakk1238
440	lbe	lakk1252
441	lef	lele1264
442	lgg	lugb1240
443	lhu	lahu1253
444	lit	lith1251
445	lkt	lako1247
446	lme	peve1243
447	lui	luis1253
448	luo	luok1236
449	lut	lush1252
450	maq	chiq1250
451	mas	masa1300
452	maz	cent2144
453	mbl	maxa1247
454	mcu	came1252
455	mdd	mbum1254
456	mde	maba1277
457	mdx	dizi1235
458	mfc	mbaa1245
459	mhj	mogh1245
460	mhr	east2328
461	mig	sanm1295
462	mjg	tuuu1240
463	mnc	manc1252
464	moq	morb1239
465	mor	moro1285
466	mpb	mull1237
467	mph	maun1240
468	mps	dadi1250
469	mqs	west2600
470	mrt	marg1265
471	mrw	mara1404
472	mto	toto1305
473	mur	murl1244
474	mwf	murr1258
475	mwp	kala1377
476	mya	nucl1310
477	myp	pira1253
478	mzm	nucl1240
479	mzp	movi1243
480	nab	sout2994
481	nan	minn1241
482	naq	nama1264
483	nas	naas1242
484	nav	nava1243
485	nbf	naxi1245
486	ncj	nort2957
487	ndv	ndut1239
488	nep	nepa1252
489	new	newa1246
490	nez	nezp1238
491	ngi	ngiz1242
492	nhu	noon1243
493	nie	niel1243
494	nio	ngan1291
495	nir	nucl1633
496	niv	gily1242
497	njo	aona1235
498	nmu	nort2952
499	nob	norw1259
500	noo	noot1239
501	nrb	nara1262
502	nut	nung1283
503	nuy	nung1290
504	nyi	amas1236
505	nyp	nyan1313
506	oca	ocai1244
507	ogb	ogbi1239
508	ojg	east2542
509	ood	toho1245
510	oru	ormu1247
511	pac	paco1243
512	pay	pech1241
513	pbb	paez1247
514	pbh	enap1235
515	pcc	bouy1240
516	pes	west2369
517	plt	plat1254
518	pom	sout2982
519	pon	pohn1238
520	prk	para1301
521	pst	cent1973
522	pwn	paiw1248
523	pww	pwon1235
524	quh	sout2991
525	qui	quil1240
526	rgr	resi1247
527	ron	roma1327
528	roo	roto1249
529	rro	waim1251
530	rus	russ1263
531	rut	rutu1240
532	sad	sand1273
533	sag	sang1328
534	sah	yaku1245
535	sed	seda1262
536	see	sene1264
537	sef	ceba1235
538	sel	selk1253
539	ses	koyr1242
540	set	nucl1632
541	shb	nina1238
542	shi	tach1250
543	shs	shus1248
544	sht	shas1239
545	sin	sinh1246
546	sja	epen1239
547	skd	sout2985
548	slc	sali1298
549	sma	sout2674
550	snn	sion1247
551	snv	saba1265
552	som	soma1255
553	spa	stan1288
554	spl	sele1250
555	sqt	soqo1240
556	srq	siri1273
557	stc	natu1249
558	sue	suen1241
559	svs	savo1255
560	swi	suii1243
561	taj	east2347
562	tay	atay1247
563	tba	aika1237
564	tbi	gaam1241
565	tca	ticu1245
566	tcy	tulu1258
567	teh	tehu1242
568	tel	telu1262
569	tem	timn1235
570	teq	nucl1339
571	tet	tetu1245
572	tgc	tiga1245
573	tgl	taga1270
574	tha	thai1261
575	thv	taha1241
576	tig	tigr1270
577	tiw	tiwi1244
578	tiy	tiru1241
579	tli	tlin1245
580	tlo	talo1250
581	tma	tama1331
582	tml	tamn1235
583	tna	taca1256
584	tnl	lena1238
585	top	papa1238
586	tpm	tamp1252
587	tpx	acat1239
588	tpy	trum1247
589	tqo	toar1246
590	tqw	tonk1249
591	trg	lish1246
592	tsi	nucl1649
593	tsu	tsou1248
594	tsz	pure1242
595	ttr	tera1251
596	tun	tuni1252
597	tur	nucl1301
598	twf	nort1550
599	tyv	tuvi1240
600	tzh	tzel1254
601	ung	ngar1284
602	unr	mund1320
603	uzn	nort2690
604	vam	vani1248
605	vie	viet1252
606	vmb	mbab1239
607	wao	wapp1239
608	wap	wapi1253
609	wba	wara1303
610	wgi	nucl1620
611	wic	wich1260
612	wim	wikm1247
613	wit	wint1259
614	wiy	wiyo1248
615	wnc	want1252
616	wnu	usan1239
617	woi	kama1365
618	wol	nucl1347
619	wrs	wari1266
620	wrz	wara1290
621	wti	bert1248
622	wuu	wuch1236
623	wyb	wang1291
624	xaw	kawa1283
625	xom	komo1258
626	xpe	libe1247
627	xtc	katc1249
628	yad	yagu1244
629	yaq	yaqu1251
630	ycn	yucu1253
631	yer	taro1263
632	ygr	yaga1260
633	yii	yidi1250
634	ykg	nort2745
635	ynn	yana1271
636	yor	yoru1245
637	yrb	yare1248
638	yrk	nene1249
639	yss	yess1239
640	yua	yuca1254
641	yuc	yuch1247
642	yue	yuec1235
643	yul	yulu1243
644	yva	nucl1454
645	zne	zand1248
646	zoc	copa1236
647	zul	zulu1248
648	zun	zuni1245
649	abi	abid1235
650	adj	adio1239
651	ajg	ajab1235
652	ajg	ajab1235
653	mtb	anyi1244
654	ahl	igoo1238
655	aka	akan1250
656	bss	akoo1248
657	anc	ngas1240
658	cko	anuf1239
659	apd	suda1236
660	avu	avok1242
661	bav	veng1238
662	bfd	bafu1246
663	bkc	baka1272
664	bam	bamb1269
665	bfl	band1345
666	bfl	band1345
667	bza	band1352
668	bci	baou1238
669	bba	baat1238
670	bas	basa1284
671	bsq	nucl1418
672	bud	ntch1242
673	btg	gagn1235
674	bkv	bekw1241
675	bom	bero1242
676	nhb	beng1286
677	bhy	bhel1238
678	beh	bial1238
679	bim	bimo1239
680	bib	biss1248
681	bbo	nort2819
682	bqc	boko1266
683	bzx	hain1253
684	bum	bulu1251
685	cme	cerm1238
686	ncu	chum1261
687	dbq	nucl1683
688	dga	sout2789
689	dgi	nort2780
690	dag	dagb1246
691	daf	dann1241
692	ada	adan1247
693	dzg	daza1242
694	luo	luok1236
695	dic	lako1244
696	dyu	dyul1238
697	tbz	dita1238
698	dow	doya1240
699	dts	toro1252
700	dua	dual1243
701	dug	duru1249
702	igb	ebir1243
703	ewe	ewee1241
704	bin	bini1246
705	izi	izie1238
706	etu	ejag1239
707	ema	emai1241
708	enn	enge1239
709	ewo	ewon1239
710	fmp	fefe1239
711	fon	fonn1241
712	fub	adam1253
713	fuq	cent2018
714	ffm	maas1239
715	fuh	west2454
716	flr	fuli1240
717	gaa	gaaa1244
718	gng	ngan1299
719	gya	nort2775
720	gbp	gbay1287
721	gej	genn1243
722	gej	genn1243
723	god	godi1239
724	gjn	gonj1241
725	gbo	nort2810
726	gde	gude1246
727	gux	gour1243
728	hag	hang1258
729	hau	haus1257
730	hau	haus1257
731	ife	ifee1241
732	ibo	nucl1417
733	ige	iged1239
734	ijs	sout2774
735	izi	izie1238
736	izi	izie1238
737	dyo	jola1263
738	bex	jurm1239
739	kbp	kabi1261
740	kkj	kako1242
741	bqx	baan1242
742	knc	cent2050
743	kza	west2466
744	kzr	kara1478
745	xsm	kase1253
746	xsm	kase1253
747	ozm	koon1245
748	kik	kiku1240
749	kqs	nort2765
750	bkm	komc1235
751	kmw	komo1260
752	xon	konk1269
753	xpe	libe1247
754	gkp	guin1254
755	krs	gbay1288
756	kri	krio1253
757	ted	tepo1239
758	kuj	kuri1259
759	kus	kusa1250
760	las	lama1275
761	lln	lele1276
762	led	lend1245
763	lom	loma1260
764	lok	loko1255
765	lig	ligb1244
766	lia	west2450
767	lmp	limb1268
768	lin	ling1263
769	dop	lukp1238
770	lug	gand1255
771	lgg	lugb1240
772	lee	lyel1241
773	mcu	came1252
774	mzk	nige1255
775	maw	mamp1244
776	mlq	west2500
777	emk	east2426
778	mdj	mang1394
779	mwk	kita1249
780	muh	mund1326
781	mfn	cros1244
782	mbo	mboc1235
783	mcp	maka1304
784	men	mend1266
785	mgo	meta1238
786	myk	mama1271
787	mzw	degg1238
788	mif	mofu1248
789	mos	moss1236
790	moa	mwan1250
791	mnf	mund1327
792	mkw	kitu1245
793	mur	murl1244
794	sur	mwag1236
795	nfr	nafa1258
796	nmz	nawd1238
797	nuv	nort2784
798	lem	noma1260
799	sba	ngam1268
800	nga	ngba1285
801	ngb	nort2774
802	nnh	ngie1241
803	nwb	nyab1255
804	lns	lamn1239
805	yas	nugu1242
806	nup	nupe1254
807	mhi	madi1260
808	pbi	park1239
809	fuc	pula1263
810	fuf	pula1262
811	rel	rend1243
812	spy	saba1262
813	sag	sang1328
814	sag	sang1328
815	seq	sena1262
816	srr	sere1260
817	sld	siss1242
818	sld	siss1242
819	khq	koyr1240
820	snk	soni1259
821	snk	soni1259
822	sus	susu1250
823	swh	swah1253
824	ttq	tawa1286
825	taq	tama1365
826	yer	taro1263
827	lor	teen1242
828	tuq	teda1241
829	kdh	temm1241
830	tfi	tofi1235
831	tem	timn1235
832	tik	tika1246
833	toq	topo1242
834	neb	tour1242
835	tsp	nort2787
836	vag	vagl1239
837	vut	vute1244
838	wwa	waam1244
839	wan	wann1242
840	wob	weno1238
841	wol	nucl1347
842	yam	yamb1251
843	yat	yamb1252
844	yre	yaou1238
845	ybb	yemb1246
846	pil	yomm1242
847	yor	yoru1245
848	yor	yoru1245
849	zne	zand1248
850	dje	zarm1239
851	gnd	zulg1242
852	fwe	fwee1238
853	yey	yeyi1239
854	cav	cavi1250
855	ccc	cham1318
856	che	chec1245
857	cdm	chep1245
858	mhr	east2328
859	cle	leal1235
860	ctu	chol1282
861	crw	chra1242
862	boi	barb1263
863	crd	coeu1236
864	com	coma1245
865	cup	cupe1243
866	cuv	cuvo1236
867	anv	deny1238
868	kxl	nepa1253
869	aoj	mufi1238
870	usa	usar1243
871	kpr	kora1294
872	bjr	binu1245
873	ego	eggo1239
874	ekp	ekpe1253
875	enb	mark1255
876	ags	esim1238
877	fan	fang1246
878	fuu	furu1242
879	gbd	kara1476
880	gby	gbar1246
881	gvf	goli1247
882	gub	guaj1255
883	gup	gunw1252
884	hay	haya1250
885	wya	wyan1247
886	hch	huic1243
887	qwh	huay1240
888	huv	sanm1287
889	qxw	jauj1238
890	lyn	luya1241
891	iby	iban1261
892	imn	imon1245
893	inh	ingu1240
894	ksi	kris1246
895	yal	yalu1240
896	jar	jara1263
897	jaa	jama1261
898	tow	jeme1245
899	mgi	liji1238
900	kab	kaby1243
901	gid	gida1247
902	kyz	kaya1329
903	kms	kama1367
904	kxo	kano1245
905	ndb	kens1251
906	xrb	east2398
907	kmv	kari1301
908	ken	keny1279
909	khr	khar1287
910	cog	chon1284
911	kin	kiny1244
912	okr	kiri1254
913	kkk	koko1269
914	kme	bako1250
915	kma	konn1242
916	kdt	kuyy1240
917	kle	kulu1253
918	kto	kuot1243
919	kgg	kusu1250
920	kxv	kuvi1243
921	xwa	kwaz1243
922	lbj	lada1244
923	lag	lang1320
924	lao	laoo1244
925	lvk	lavu1241
926	bwt	bafa1247
927	lun	lund1266
928	lch	luch1239
929	bdu	orok1266
930	mkd	mace1250
931	mxu	mada1293
932	grg	madi1261
933	mva	mana1295
934	bce	bame1260
935	nmm	mana1288
936	nge	ngem1255
937	mec	mara1385
938	ayz	maib1239
939	gmm	gbay1281
940	byv	medu1238
941	xmf	ming1252
942	bfm	mmen1238
943	mwt	moke1242
944	cas	mose1249
945	mgg	mpon1254
946	mhk	mung1266
947	nmg	kwas1243
948	mlv	motl1237
949	nnm	nami1256
950	nml	ndem1249
951	apm	mesc1238
952	yum	quec1382
953	nnk	nank1250
954	niq	nand1266
955	kig	kima1246
956	mff	naki1238
957	ncl	mich1245
958	nag	naga1394
959	nsh	ngos1238
960	nig	ngal1293
961	nam	nang1259
962	igo	iseb1246
963	nla	ngom1271
964	noo	noot1239
965	kxm	nort2684
966	pao	nort2954
967	kcn	nubi1253
968	nus	nuer1246
969	ekm	elip1238
970	nym	nyam1276
971	nyl	nyeu1238
972	ann	obol1243
973	mpt	mian1256
974	fai	faiw1243
975	oku	okuu1243
976	oss	osse1243
977	pau	pala1344
978	okv	orok1269
979	yll	yill1241
980	niz	ning1273
981	dob	dobu1241
982	smq	samo1303
983	uvh	urii1240
984	bzf	boik1241
985	prt	phai1238
986	mlf	mall1246
987	rma	rama1270
988	xmt	matb1237
989	run	rund1242
990	nyn	nyan1307
991	rwr	marw1260
992	ndi	samb1305
993	sbd	sout2844
994	sxm	samr1245
995	sae	saba1268
996	str	stra1244
997	sas	sasa1249
998	svr	sava1244
999	pos	sayu1241
1000	sey	seco1241
1001	trv	taro1264
1002	ssg	seim1238
1003	sza	seme1247
1004	ser	serr1255
1005	sbf	shab1252
1006	ywn	yawa1260
1007	kde	mako1251
1008	sna	shon1251
1009	bax	bamu1253
1010	sjr	siar1238
1011	skr	sera1259
1012	sjw	shaw1249
1013	skv	nucl1634
1014	thm	aheu1239
1015	erk	sout2856
1016	spo	spok1245
1017	sso	siss1243
1018	stw	sata1237
1019	ulw	ulwa1239
1020	jup	hupd1244
1021	zoc	copa1236
1022	ztp	loxi1235
1023	yuk	yuki1243
1024	yap	yape1248
1025	yur	yuro1248
1026	yuz	yura1255
1027	yux	sout2750
1028	wbm	nucl1290
1029	wms	wamb1259
1030	was	wash1253
1031	way	waya1269
1032	woc	woge1237
1033	var	huar1255
1034	vai	vaii1241
1035	ukr	ukra1253
1036	phl	phal1254
1037	mky	east2440
1038	tpi	tokp1240
1039	bjz	baru1269
1040	tav	tatu1247
1041	tgw	tagw1240
1042	mzn	maza1291
1043	blk	paok1235
1044	tft	tern1247
1045	tob	toba1269
1046	pol	poli1260
1047	cmn	mand1415
1048	ijn	kala1381
1049	ydd	east2295
1050	nld	dutc1256
1051	mla	malo1243
1052	gay	gayo1244
1053	jam	jama1262
1054	mcs	mamb1294
1055	arg	arag1245
1056	zts	tilq1235
1057	ibb	ibib1240
1058	tam	tami1289
1059	zpq	zoog1238
1060	bgo	baga1273
1061	nxl	sout2895
1062	slu	sela1259
1063	tvd	tsuv1239
1064	wos	hang1263
1065	blr	blan1242
1066	txx	tata1257
1067	bod	tibe1272
1068	ruk	chee1238
1069	tol	tolo1259
1070	pae	pagi1243
1071	cho	choc1276
1072	crg	mich1243
1073	plg	pila1245
1074	yuc	yuch1247
1075	bwi	bani1255
1076	ktn	kari1311
1077	esi	nort2943
1078	zab	sanj1284
1079	tzo	tzot1259
1080	sid	sida1246
1081	bdr	west2560
1082	cid	chim1301
1083	tee	hueh1236
1084	ute	utes1238
1085	duo	dupa1235
1086	ton	tong1325
1087	lmw	lake1258
1088	lzz	lazz1240
1089	jun	juan1238
1090	adn	adan1251
1091	ael	ambe1247
1092	apu	apur1254
1093	ace	achi1257
1094	aig	anti1245
1095	akl	akla1241
1096	arh	arhu1242
1097	arr	karo1305
1098	ayl	liby1240
1099	bbc	bata1289
1100	bci	baou1238
1101	bfw	bond1245
1102	biw	kolc1235
1103	bla	siks1238
1104	bll	bilo1248
1105	bzj	beli1260
