spaDescription	Phoneme	PhonemeOld	NotesTwo
i-long-backed-retracted	i̠̙ː		"retracted" is consistently given the right tack, "backed" is consistently given the minus below. This is one of two weird cases that have both. Unchanged.
iota-backed-retracted	ɪ̠̙		"retracted" is consistently given the right tack, "backed" is consistently given the minus below. This is one of two weird cases that have both. Unchanged.
w/o-mid	uo̞	wo̞	"* the transcription of "o-mid" as a downtack is suspicious, but there appears to be consistency so we're leaving it alone
theta-prenasalized	n̪θ		added dental marker below prenasalizing n
k/x-prevelar-palatalized	k̟x̟ʲ		added fronting diacritic to the k
j-palatoalveolar-prenasalized	ɲ̟ʝ̟		added fronting diacritic to the nasal
z-hacek-prenasalized	n̠ʒ		added retraction diacritic below prenasalizing n
a-front-long-retracted	a̟̙ː		all "a-front" changed from [a] to [a̟]
a-front-long-nasalized	ã̟ː		all "a-front" changed from [a] to [a̟]
a-front-nasalized	ã̟		all "a-front" changed from [a] to [a̟]
a-front-retroflexed	a̟˞		all "a-front" changed from [a] to [a̟]
a-front-over-short	ă̟		all "a-front" changed from [a] to [a̟]
t/theta-glottalized	t̠θˀ	ʔtθ	all voiceless consonants that are "-glottalized" are marked with a preceding glottal stop (even if they don't say "-preglottalized")
t-retroflex-unreleased-glottalized	ʈ̚ˀ	ʔʈ̚	all voiceless consonants that are "-glottalized" are marked with a preceding glottal stop (even if they don't say "-preglottalized")
t-unreleased-glottalized	t̚ˀ	ʔt̚	all voiceless consonants that are "-glottalized" are marked with a preceding glottal stop (even if they don't say "-preglottalized")
t-glottalized	tˀ	ʔt	all voiceless consonants that are "-glottalized" are marked with a preceding glottal stop (even if they don't say "-preglottalized")
s-glottalized	sˀ	ʔs	all voiceless consonants that are "-glottalized" are marked with a preceding glottal stop (even if they don't say "-preglottalized")
p-unreleased-glottalized	p̚ˀ	ʔp̚	all voiceless consonants that are "-glottalized" are marked with a preceding glottal stop (even if they don't say "-preglottalized")
p-glottalized	pˀ	ʔp	all voiceless consonants that are "-glottalized" are marked with a preceding glottal stop (even if they don't say "-preglottalized")
k-glottalized	kˀ	ʔk	all voiceless consonants that are "-glottalized" are marked with a preceding glottal stop (even if they don't say "-preglottalized")
ash-trema-long	ɶ̝ː		corrected from  ɑ̝ː
higher-mid-falling-low	˦˩		corrected from ˦˨
high	˥		corrected from ˦
high-over-short	˥̆		corrected from ˦̆
high-creaky voice	˥̰		corrected from ˦̰
higher-mid-rising	˧˦		corrected from ˦˥
high-falling	˥˦		corrected from ˦˥˩
high-falling-rising	˥˧˥		corrected from ˦˥˩˥
low	˩		corrected from ˨
low-breathy voice-over-short	˩̤̆		corrected from ˨̤̆
low-creaky voice	˩̰		corrected from ˨̰
low-glottalized	˩ˀ	˩̰	corrected from ˨̰
lower-mid-rising	˨˧		corrected from ˨˥
lower-mid-rising-falling	˨˧˩		corrected from ˨˥˩
low-rising-falling	˩˨˩		corrected from ˨˧˦˧
lower-mid-falling	˧˨		corrected from ˨˩
lower-mid-falling-breathy voice	˧˨̤		corrected from ˨˩̤
lower-mid-falling-rising	˧˨˥		corrected from ˨˩˥
low-falling-rising	˨˩˥		corrected from ˨˩˩˥
lower-mid-falling-pharyngealized	˧˨ˤ		corrected from ˨˩ˤ
a-creaky voice	a̰		corrected from ä̰
low-rising-long	˩˨˧		corrected from a̟ (!?)
a-half-long	aˑ		corrected from äˑ
ash-trema	ɶ̝		corrected from ɑ̝
c-fricative-palatoalveolar	ç̟		"corrected from ɕ for consistency with other sounds marked as "-palatoalveolar"
d/eth	d̪ð		corrected from dð
d/j-fricative-long	ɟʝː		corrected from dʝː
d/j-fricative-labialized	ɟʝʷ		corrected from dʝʷ
d/r-trill-retroflex	ɖr̠		corrected from dɽr
d/z-laminal	d̻z̻		corrected from dz̻
d/z-hacek-lax	d̠ʒ͉	d̠ʒ	corrected from dz; Lax consonants are represented as voiced
d/z-hacek-retroflex	ɖʐ		corrected from dʐ
d/z-retroflex	ɖʐ		corrected from dʐ
d/z-hacek	d̠ʒ		corrected from dʒ
d/z-hacek-breathy voice	d̠ʒ̤		corrected from dʒ̤
d/z-hacek-creaky voice	d̠ʒ̰		corrected from dʒ̰
d/z-hacek-half-voice	d̠ʒ	d̠ʒ	corrected from dʒ; Half voiced is represented as fully voiced
t/s-hacek-lax	t̠ʃ͉		corrected from dʒ; Lax consonants are represented as voiced
d/z-hacek-long	d̠ʒː		corrected from dʒː
d/z-hacek-breathy voice-long	d̠ʒ̤ː		corrected from dʒ̤ː
d/z-hacek-palatalized	d̠ʒʲ		corrected from dʒʲ
d/z-hacek-labialized	d̠ʒʷ		corrected from dʒʷ
d/z-hacek-labiovelarized	d̠ʒʷˠ		corrected from dʒʷ
d/z-hacek-postglottalized	d̠ʒˀ	d̠ʒʔ	corrected from dʒʔ
e-mid-backed	e̞̠		corrected from ə̟
t/s-hacek-preaspirated	ʰt̠ʃ		corrected from ʰtʃ
i-lax	ɪ		corrected from i̙
k-breathy voice	ɡ̤̥		corrected from k̤
k/c-fricative	cç		corrected from kç
k/j-fricative	cʝ		corrected from kʝ
c-palatoalveolar-click	kǃ		corrected from kǂ (since the ! encompasses both alveolar and postalveolar clicks)
d-prenasalized/r-trill-retroflex	ɳɖr̠		corrected from ndɽr
d/z-hacek-retroflex-prenasalized	ɳɖʐ		corrected from ndʐ
d/z-hacek-prenasalized	n̠d̠ʒ		corrected from ndʒ
d/z-hacek-prenasalized-breathy voice	n̠d̠ʒ̤		corrected from ndʒ̤
t-dental-prenasalized	n̪t̪		corrected from nt̪
t-prenasalized/r-trill-retroflex-voiceless	ɳʈr̠̥		corrected from ntɽr̥
t/s-hacek-retroflex-prenasalized	ɳʈʂ		corrected from ntʂ
t/s-hacek-prenasalized	n̠t̠ʃ		corrected from ntʃ
t/s-hacek-prenasalized-aspirated	n̠t̠ʃʰ		corrected from ntʃʰ
omega-trema-long	ʏː		"corrected from œ̞ː ("omega" was the old term for ɷ which was replaced by ʊ)
omega	ʊ		"corrected from ɔ̞ ("omega" was the old term for ɷ which was replaced by ʊ)
omega-long	ʊː		"corrected from ɔ̞ː ("omega" was the old term for ɷ which was replaced by ʊ)
p-breathy voice	b̤̥		corrected from p̤
l-flap-retroflex	ɺ̠		corrected from ɺ̢
r-trill-retroflex	r̠		corrected from ɽr
r-trill-retroflex-nasalized	r̠̃		corrected from ɽr̃
r	r		"corrected from ɾ, based on looking at the languages that are listed as "r" (as opposed to "r-trill" or "r-approximant")
s/t/s-hacek	st̠ʃ		corrected from stʃ
s-hacek-retroflex/r	ʂɻ		corrected from ʂr̝
t-breathy voice	d̤̥		corrected from t̤
t-dental-breathy voice	d̪̤̥		corrected from t̪̤
t-long/s-hacek	t̠ːʃ		corrected from tːʃ
t/theta-lax	t̪θ͉	t̪ð	corrected from tð; Lax consonants are represented as voiced
t/r-fricative-retroflex-voiceless	ʈʂ͇		corrected from tɻ̝̥; corrected from ʈɻ̝̥ updated to ʈʂ͇
t/r-trill-retroflex-voiceless	ʈr̥̠		corrected from tɽr̥
t/s-breathy voice	tz̤̥		corrected from ts̤
t/s-dental	t̪s̪		corrected from ts̪
t/s-laminal	t̻s̻		corrected from ts̻
t/s/c-fricative	tsç		corrected from tsɕ
t/s-laminal-aspirated	t̻s̻ʰ		corrected from ts̻ʰ
t/s-laminal-aspirated-weak	t̻s̻ʰ		corrected from ts̻ʰ; Weak aspiration is represented as full aspiration
t/s-laminal-ejective	t̻s̻ʼ		corrected from ts̻ʼ
t/s-laminal-ejective-syllabic	t̻s̻̩ʼ		corrected from ts̻̩ʼ
t/s-retroflex	ʈʂ		corrected from tʂ
t/s-hacek-retroflex	ʈʂ		corrected from tʂ
t/s-retroflex-aspirated	ʈʂʰ		corrected from tʂʰ
t/s-hacek-retroflex-aspirated	ʈʂʰ		corrected from tʂʰ; Apico-postalveolar sounds are represented as retroflex
t/s-retroflex-aspirated-weak	ʈʂʰ		corrected from tʂʰ; Weak aspiration is represented as full aspiration
t/s-retroflex-ejective	ʈʂʼ		corrected from tʂʼ
t/s-hacek-retroflex-ejective	ʈʂʼ		corrected from tʂʼ
t/s-hacek	t̠ʃ		corrected from tʃ
d/z-hacek-tense	d̠͈ʒ		Tense is represented with COMBINING DOUBLE VERTICAL LINE BELOW U+0348
t/s-hacek-tense	t̠͈ʃ		Tense is represented with COMBINING DOUBLE VERTICAL LINE BELOW U+0348
t/s-hacek-long	t̠ʃː		corrected from tʃː
t/s-hacek-tense-long	t̠͈ʃː		Tense is represented with COMBINING DOUBLE VERTICAL LINE BELOW U+0348
t/s-hacek-half-long	t̠ʃˑ		corrected from tʃˑ
t/s-hacek-aspirated	t̠ʃʰ		corrected from tʃʰ
d/z-hacek-aspirated-half-voice	t̠̬ʃʰ		corrected from t̬ʃʰ; Initial closure is voiced
t/s-hacek-aspirated-weak	t̠ʃʰ		corrected from tʃʰ; Weak aspiration is represented as full aspiration
t/s-hacek-aspirated-long	t̠ʃʰː		corrected from tʃʰː
t/s-hacek-palatalized	t̠ʃʲ		corrected from tʃʲ
t/s-hacek-aspirated-palatalized	t̠ʃʲʰ		corrected from tʃʲʰ
t/s-hacek-ejective-palatalized	t̠ʃʲʼ		corrected from tʃʲʼ
t/s-hacek-labialized	t̠ʃʷ		corrected from tʃʷ
t/s-hacek-labiovelarized	t̠ʃʷˠ		corrected from tʃʷ
t/s-hacek-tense-labialized	t̠͈ʃʷ	t̠ʃʷ	Tense is represented with COMBINING DOUBLE VERTICAL LINE BELOW U+0348
t/s-hacek-aspirated-labialized	t̠ʃʷʰ		corrected from tʃʷʰ
t/s-hacek-aspirated-labiovelarized	t̠ʃʷˠʰ		corrected from tʃʷʰ
t/s-hacek-ejective-labialized	t̠ʃʷʼ		corrected from tʃʷʼ
t/s-hacek-ejective-labialized-syllabic	t̠ʃ̩ʷʼ		corrected from tʃ̩ʷʼ
t/s-hacek-glottalized	t̠ʃˀ	ʔt̠ʃ	"corrected from tʃʔ; all voiceless consonants that are "-glottalized" are marked with a preceding glottal stop (even if they don't say "-preglottalized")
t/s-hacek-ejective	t̠ʃʼ		corrected from tʃʼ
t/s-hacek-ejective-syllabic	t̠ʃ̩ʼ		corrected from tʃ̩ʼ
t/s-hacek-ejective-long	t̠ʃʼː		corrected from tʃʼː
t/theta	t̪θ		corrected from tθ
t/theta-aspirated	t̪θʰ		corrected from tθʰ
t/theta-ejective	t̪θʼ		corrected from tθʼ
yod-dot	ɨ̯		corrected from ɰ̟
j-fricative-palatoalveolar	ʝ̟		corrected from ʑ for consistency
d/z-hacek-preglottalized	ˀd̠ʒ	ʔd̠ʒ	corrected from ʔdʒ
t/s-hacek-preglottalized	ˀt̠ʃ	ʔt̠ʃ	corrected from ʔtʃ
t/s-click	kǀ		dental click
beta-half-voice-long	βː		Half voiced is represented as fully voiced
beta-half-voice	β		Half voiced is represented as fully voiced
z-hacek-half-voice-long	ʒː		Half voiced is represented as fully voiced
z-hacek-half-voice	ʒ		Half voiced is represented as fully voiced
z-half-voice-long	zː		Half voiced is represented as fully voiced
z-half-voice	z		Half voiced is represented as fully voiced
l-palatal-half-voice	ʎ		Half voiced is represented as fully voiced
w-half-voice-long	wː		Half voiced is represented as fully voiced
w-half-voice	w		Half voiced is represented as fully voiced
v-half-voice	v		Half voiced is represented as fully voiced
u-half-voice-long	uː		Half voiced is represented as fully voiced
u-half-voice	u		Half voiced is represented as fully voiced
r-flap-half-voice-palatalized	ɾʲ		Half voiced is represented as fully voiced
r-flap-half-voice-velarized	ɾˠ		Half voiced is represented as fully voiced
r-flap-half-voice-long	ɾː		Half voiced is represented as fully voiced
r-trill-half-voice-long	rː		Half voiced is represented as fully voiced
r-fricative-retroflex-half-voice	ʐ͇		Half voiced is represented as fully voiced; updated from ɻ̝
gamma-uvular-half-voice	ʁ		Half voiced is represented as fully voiced
r-trill-half-voice	r		Half voiced is represented as fully voiced
o-mid-dot-half-voice-long	ɵ̞ː		Half voiced is represented as fully voiced
o-half-voice-long	oː		Half voiced is represented as fully voiced
o-mid-half-voice-half-long	o̞ˑ		Half voiced is represented as fully voiced
eng-half-voice	ŋ		Half voiced is represented as fully voiced
n-half-voice-palatalized	nʲ		Half voiced is represented as fully voiced
n-half-voice-velarized	nˠ		Half voiced is represented as fully voiced
n-half-voice-long	nː		Half voiced is represented as fully voiced
n-interdental-half-voice	n̪		Half voiced is represented as fully voiced
n-palatal-half-voice	ɲ		Half voiced is represented as fully voiced
n-half-voice	n		Half voiced is represented as fully voiced
m-half-voice-labiovelarized	mʷˠ		Half voiced is represented as fully voiced
m-half-voice-palatalized	mʲ		Half voiced is represented as fully voiced
m-half-voice-long	mː		Half voiced is represented as fully voiced
yod-trema-half-voice	ɰ		Half voiced is represented as fully voiced
m-half-voice	m		Half voiced is represented as fully voiced
l-half-voice-palatalized	lʲ		Half voiced is represented as fully voiced
l-dental-half-voice-velarized	l̪ˠ		Half voiced is represented as fully voiced
l-half-voice-velarized	lˠ		Half voiced is represented as fully voiced
l-half-voice-long	lː		Half voiced is represented as fully voiced
l-half-voice	l		Half voiced is represented as fully voiced
yod-half-voice-long	jː		Half voiced is represented as fully voiced
j-fricative-half-voice	ʝ		Half voiced is represented as fully voiced
j-unreleased-half-voice	ɟ̚		Half voiced is represented as fully voiced
yod-half-voice	j		Half voiced is represented as fully voiced
yod-lax-half-voice	j͉	j	Half voiced is represented as fully voiced
i-bar-half-voice-long	ɨː		Half voiced is represented as fully voiced
i-half-voice-long	iː		Half voiced is represented as fully voiced
i-bar-half-voice	ɨ		Half voiced is represented as fully voiced
i-half-voice	i		Half voiced is represented as fully voiced
h-half-voice	ɦ		Half voiced is represented as fully voiced
g-unreleased-half-voice	ɡ̚		Half voiced is represented as fully voiced
g-half-voice	ɡ		Half voiced is represented as fully voiced
gamma-half-voice	ɣ		Half voiced is represented as fully voiced
epsilon-half-voice-long	ɛː		Half voiced is represented as fully voiced
e-half-voice-long	eː		Half voiced is represented as fully voiced
e-mid-half-voice-half-long	e̞ˑ		Half voiced is represented as fully voiced
d/z-half-voice	dz		Half voiced is represented as fully voiced
d/j-fricative-half-voice	ɟʝ		Half voiced is represented as fully voiced; updated from dʝ
eth-half-voice	ð		Half voiced is represented as fully voiced
eth-half-voice-lax	ð͉	ð	Half voiced is represented as fully voiced
d-unreleased-half-voice	d̚		Half voiced is represented as fully voiced
d-half-voice	d		Half voiced is represented as fully voiced
o-open-half-voice-long	ɔː		Half voiced is represented as fully voiced
o-open-half-voice	ɔ		Half voiced is represented as fully voiced
b-unreleased-half-voice	b̚		Half voiced is represented as fully voiced
b-half-voice	b		Half voiced is represented as fully voiced
ash-half-voice-long	æː		Half voiced is represented as fully voiced
a-front-half-voice-long	a̟ː		Half voiced is represented as fully voiced
a-half-voice-long	aː		Half voiced is represented as fully voiced
a-half-voice-half-long	aˑ		Half voiced is represented as fully voiced
a-half-voice	a		Half voiced is represented as fully voiced
d/z-aspirated-half-voice	t̬sʰ		Initial closure is voiced
d-aspirated-half-voice	t̬ʰ		Initial closure is voiced
b-aspirated-half-voice	p̬ʰ		Initial closure is voiced
g-aspirated-half-voice	k̬ʰ		Initial closure is voiced
j-aspirated-half-voice	c̬ʰ		Initial closure is voiced
t-interdental-aspirated	t̪ʰ		Interdental consonants are represented as dental
t-interdental-unreleased	t̪̚		Interdental consonants are represented as dental
t-interdental	t̪		Interdental consonants are represented as dental
n-interdental	n̪		interdental represented as dental
l-interdental	l̪		interdental represented as dental
d-interdental-unreleased	d̪̚		interdental represented as dental
d-interdental	d̪		interdental represented as dental
t/l-fricative-click	kǁ		lateral click
k-lax-preglottalized	ˀk͉	ʔɡ , ʔk͉	Lax is represented with COMBINING LEFT ANGLE BELOW U+0349
s-hacek-lax	ʃ͉	ʒ	Lax is represented with COMBINING LEFT ANGLE BELOW U+0349
s-laminal-lax	s̻͉	z̻	Lax is represented with COMBINING LEFT ANGLE BELOW U+0349
s-dental-lax	s̪͉	z̪	Lax is represented with COMBINING LEFT ANGLE BELOW U+0349
s-lax	s͉	z	Lax is represented with COMBINING LEFT ANGLE BELOW U+0349
f-lax	f͉	v	Lax is represented with COMBINING LEFT ANGLE BELOW U+0349
x-uvular-lax	χ͉	ʁ	Lax is represented with COMBINING LEFT ANGLE BELOW U+0349
n-lax	n͉	n	Lax is represented with COMBINING LEFT ANGLE BELOW U+0349
m-lax	m͉	m	Lax is represented with COMBINING LEFT ANGLE BELOW U+0349
yod-lax	j͉	j	Lax is represented with COMBINING LEFT ANGLE BELOW U+0349
h-lax	h͉	ɦ	Lax is represented with COMBINING LEFT ANGLE BELOW U+0349
k-prevelar-lax	k̟͉	ɡ̟	Lax is represented with COMBINING LEFT ANGLE BELOW U+0349
g-lax	ɡ͉	ɡ	Lax is represented with COMBINING LEFT ANGLE BELOW U+0349
k-lax	k͉	ɡ	Lax is represented with COMBINING LEFT ANGLE BELOW U+0349
t/s-lax-long	d͉zː	dzː	Lax is represented with COMBINING LEFT ANGLE BELOW U+0349
d/z-lax	d͉z	dz	Lax is represented with COMBINING LEFT ANGLE BELOW U+0349
t/s-lax	t͉s	dz	Lax is represented with COMBINING LEFT ANGLE BELOW U+0349
t-lax-palatalized	t͉ʲ	dʲ	Lax is represented with COMBINING LEFT ANGLE BELOW U+0349
eth-lax	ð͉	ð	Lax is represented with COMBINING LEFT ANGLE BELOW U+0349
theta-lax	θ͉	ð	Lax is represented with COMBINING LEFT ANGLE BELOW U+0349
t-retroflex-lax	ʈ͉	ɖ	Lax is represented with COMBINING LEFT ANGLE BELOW U+0349
d-lax	d͉	d	Lax is represented with COMBINING LEFT ANGLE BELOW U+0349
t-lax	t͉	d	Lax is represented with COMBINING LEFT ANGLE BELOW U+0349
p-lax-palatalized	p͉ʲ	bʲ	Lax is represented with COMBINING LEFT ANGLE BELOW U+0349
p-lax-long	p͉ː	bː	Lax is represented with COMBINING LEFT ANGLE BELOW U+0349
b-lax	b͉	b	Lax is represented with COMBINING LEFT ANGLE BELOW U+0349
p-lax	p͉	b	Lax is represented with COMBINING LEFT ANGLE BELOW U+0349
c-click	kǂ		palatal click
k-prevelar-preaspirated-long	ʰk̟ː		preaspiration moved to the left
lower-low	˩		"see notes on the second sheet regarding "higher high" and "lower low"
higher-high	˥		reportedly phonemic in Hausa; we let it collapse with the high toneme
